CASE_NUMBER,CASE_STATUS,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMP,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,PUBLIC_DISCLOSURE_LOCATION,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,ORIGINAL_CERT_DATE
I-200-18037-683784,CERTIFIED,3/5/18,3/9/18,H-1B,8/28/18,8/27/21,F5 NETWORKS_ INC.,,401 ELLIOTT AVENUE WEST,SEATTLE,WA,98119,UNITED STATES OF AMERICA,N/A,2062725555,,Y,LEDERMAN_ KEVIN,SEATTLE,WA,SOFTWARE ENGINEER,15-1133,SOFTWARE DEVELOPERS_ SYSTEMS SOFTWARE,334210,1,1,0,0,0,0,0,Y,"79,050.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"79,050.00","95,000.00",Year,N,N,NA,,,SEATTLE,KING,WA,98119,
I-200-18050-376268,CERTIFIED,3/5/18,3/9/18,H-1B,8/1/18,7/31/21,ASCENDUM SOLUTIONS_ LLC,N/A,10290 ALLIANCE ROAD,BLUE ASH,OH,45242,UNITED STATES OF AMERICA,N/A,5.13793E+11,,Y,SCHALNAT_ ELEANOR,CINCINNATI,OH,PEGA DEVELOPER/SOFTWARE DEVELOPER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541511,10,10,0,0,0,0,0,Y,35.35,Hour,Level II,Other,2017,OFLC ONLINE DATA CENTER,39.47,0,Hour,N,N,NA,Y,,BLUE ASH,HAMILTON,OH,45242,
I-200-18040-708329,CERTIFIED,3/5/18,3/9/18,H-1B,8/10/18,8/9/21,SMITHGROUPJJR_ INC. SUBSIDIARY OF SMITHGROUP CO. INC.,N/A,500 GRISWOLD STREET,DETROIT,MI,48226,UNITED STATES OF AMERICA,,5087901181,,Y,SPAIC_ SVETLANA,CENTERVILLE,MA,ARCHITECT (NON-LICENSED),17-1011,ARCHITECTS_ EXCEPT LANDSCAPE AND NAVAL,541310,1,0,1,0,0,0,0,Y,"55,463.00",Year,N/A,Other,2017,DIETRICH ASSOCIATES_ INC._ 2017 ARCHITECTURAL SALARY SURVEY,"56,000.00","60,000.00",Year,N,N,NA,,,WASHINGTON,DISTRICT OF COLUMBIA,DC,20006,
I-200-18034-674086,CERTIFIED,3/5/18,3/9/18,H-1B,8/6/18,8/6/21,UBS SECURITIES LLC,N/A,315 DEADERICK STREET,NASHVILLE,TN,37238,UNITED STATES OF AMERICA,N/A,6153326481,,Y,ELLSWORTH_ CHAD,NEW YORK,NY,INVESTMENT BANKING ANALYST,13-2051,FINANCIAL ANALYSTS,523110,1,1,0,0,0,0,0,Y,"67,900.00",Year,N/A,Other,2017,WILLIS TOWERS WATSON ACCOUNTING AND FINANCE COMPENSATION SURVEY,"68,000.00","105,000.00",Year,N,N,NA,Y,,NEW YORK,NEW YORK,NY,10019,
I-200-18064-248971,CERTIFIED,3/12/18,3/16/18,H-1B,9/1/18,8/31/21,INTEGRATED DEVICE TECHNOLOGY_ INC.,,6024 SILVER CREEK VALLEY ROAD,SAN JOSE,CA,95138-1011,UNITED STATES OF AMERICA,,4082848484,,Y,FLEISCHUT_ CHRISTOPHER,MENLO PARK,CA,SENIOR ENGINEER,17-2072,ELECTRONICS ENGINEERS_ EXCEPT COMPUTER,33441,1,1,0,0,0,0,0,Y,"100,976.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"100,977.00",0,Year,N,N,NA,Y,,WESTFORD,MIDDLESEX,MA,1886,
I-200-18052-626654,CERTIFIED,3/12/18,3/16/18,H-1B,3/12/18,2/27/21,DELOITTE CONSULTING LLP,N/A,1700 MARKET STREET,PHILADELPHIA,PA,19103,UNITED STATES OF AMERICA,N/A,9736025495,,Y,MCKEE_ ELIZABETH,ATLANTA,GA,MANAGER,Nov-21,COMPUTER AND INFORMATION SYSTEMS MANAGERS,54161,3,0,1,1,0,1,0,Y,"102,482.00",Year,Level I,OES,2017,OFLC ONLINE DATA CENTER,"115,180.00",0,Year,N,N,NA,,,PHILADELPHIA,PHILADELPHIA,PA,19103,
I-200-18064-023188,CERTIFIED,3/5/18,3/9/18,H-1B,9/4/18,9/3/21,CYAN360_ INC.,,2863 W 95TH STREET,NAPERVILLE,IL,60564,UNITED STATES OF AMERICA,,6309658080,,Y,RAY_ ANTHONY,NOVI,MI,PROGRAMMER SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541690,1,1,0,0,0,0,0,Y,"69,555.00",Year,Level II,OES,2018,OFLC ONLINE DATA CENTER,"69,555.00",0,Year,N,N,NA,,,INDIANAPOLIS,HAMILTON,IN,46280,
I-200-18071-838781,CERTIFIED,3/12/18,3/16/18,H-1B,9/7/18,9/6/21,MICROSTRATEGY_ INC.,,1850 TOWERS CRESCENT PLAZA,TYSONS CORNER,VA,22182,UNITED STATES OF AMERICA,,7038488600,,Y,JONES_ JOWANDA,ARLINGTON,VA,SOFTWARE ENGINEER IN TEST [AID010 APPLICATION DEV_ P2],15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,5415,30,30,0,0,0,0,0,Y,"86,700.00",Year,N/A,Other,2017,TOWERSWATSON:2017PROFESSIONAL(TECHNICALANDOPERATIONS)COMPENSATIONSURVEY,"86,700.00",0,Year,N,N,NA,,,TYSONS CORNER,FAIRFAX,VA,22182,
I-200-18052-029383,CERTIFIED,3/7/18,3/13/18,H-1B,8/1/18,7/31/21,SPIDERCLOUD WIRELESS_ INC.,,ONE RIVERFRONT PLAZA,CORNING,NY,14831-1483,UNITED STATES OF AMERICA,,6079748510,,Y,WATT_ MARGOT,BUFFALO,NY,SYSTEMS ENGINEER,15-1133,SOFTWARE DEVELOPERS_ SYSTEMS SOFTWARE,33422,1,1,0,0,0,0,0,Y,"125,660.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"125,660.00",0,Year,Y,N,Y,,,MILPITAS,SANTA CLARA,CA,95035,
I-200-18071-186312,CERTIFIED,3/12/18,3/16/18,H-1B,8/1/18,7/30/21,AGS DEVICES CO.,N/A,10981 HARMONY PARK DRIVE,BONITA SPRINGS,FL,34135,UNITED STATES OF AMERICA,,2394953215,,Y,COHEN_ STANLEY,NEW YORK,NY,BUSINESS DEVELOPMENT SPECIALIST,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,443142,1,1,0,0,0,0,0,Y,"60,757.00",Year,Level III,OES,2018,OFLC ONLINE DATA CENTER,"65,000.00","65,000.00",Year,N,N,NA,Y,,BONITA SPRINGS,LEE COUNTY,FL,34135,
I-200-18053-205922,CERTIFIED,3/12/18,3/16/18,H-1B,8/17/18,8/16/21,NCR CORPORATION,,864 SPRING STREET,ATLANTA,GA,30309,UNITED STATES OF AMERICA,N/A,6788085996,,Y,VAN STIPHOUT_ MONIQUE,WASHINGTON,DC,SOFTWARE ENGINEER III,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541519,1,1,0,0,0,0,0,Y,"107,800.00",Year,N/A,Other,2017,COMPSOURCE WILLIS TOWERS WATSON DATA SERVICES:2017 PROFESSIONAL (TECHNICAL AND,"108,500.00",0,Year,N,N,NA,Y,,REDWOOD CITY,SAN MATEO,CA,94063,
I-200-18069-379562,CERTIFIED,3/12/18,3/16/18,H-1B,9/7/18,9/6/21,MICROSTRATEGY_ INC.,,1850 TOWERS CRESCENT PLAZA,TYSONS CORNER,VA,22182,UNITED STATES OF AMERICA,,7038488600,,Y,JONES_ JOWANDA,ARLINGTON,VA,SENIOR SOFTWARE ENGINEER [AID040 SYS SOFT DEV P2],15-1133,SOFTWARE DEVELOPERS_ SYSTEMS SOFTWARE,5415,30,30,0,0,0,0,0,Y,"80,300.00",Year,N/A,Other,2017,TOWERSWATSON:2017PROFESSIONAL(TECHNICALANDOPERATIONS)COMPENSATIONSURVEY,"80,300.00",0,Year,N,N,NA,,,TYSONS CORNER,FAIRFAX,VA,22182,
I-200-18071-723249,CERTIFIED,3/12/18,3/16/18,H-1B,9/6/18,9/5/21,VERITAS TECHNOLOGIES LLC,,500 E. MIDDLEFIELD ROAD,MOUNTAIN VIEW,CA,94043,UNITED STATES OF AMERICA,,4073577295,,Y,OYE_ RONALD,SAN FRANCISCO,CA,IT APPLICATIONS SPECIALIST (IT DEVELOPER),15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541511,1,1,0,0,0,0,0,Y,"93,100.00",Year,N/A,Other,2017,WILLIS TOWERS WATSON 2017 PROFESSIONAL (TECH&OPS) COMPENSATION SURVEY,"93,100.00",0,Year,N,N,NA,,,MOUNTAIN VIEW,SANTA CLARA,CA,94043,
I-200-18065-958290,CERTIFIED,3/7/18,3/13/18,H-1B,9/3/18,9/2/21,LINKEDIN CORPORATION,,1000 W. MAUDE AVENUE,SUNNYVALE,CA,94085,UNITED STATES OF AMERICA,,6506873600,,Y,GWIN_ SILVIA,BOSTON,MA,DATA SCIENTIST,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,518210,1,1,0,0,0,0,0,Y,"115,060.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"115,060.00","162,000.00",Year,N,N,NA,,,SUNNYVALE,SANTA CLARA,CA,94085,
I-200-18053-494229,CERTIFIED,3/7/18,3/13/18,H-1B,8/21/18,8/21/21,OATH HOLDINGS_ INC.,,701 FIRST AVENUE,SUNNYVALE,CA,94089,UNITED STATES OF AMERICA,,4083493300,,Y,KIVUVANI_ SUSAN,RICHARDSON,TX,ASSOCIATE SOFTWARE DEV ENGINEER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,519130,1,0,0,0,0,0,1,Y,"78,777.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"78,777.00","123,600.00",Year,N,N,NA,Y,,LOS ANGELES,LOS ANGELES,CA,90094,
I-200-18064-904838,WITHDRAWN,3/8/18,3/12/18,H-1B,10/1/18,9/30/21,SCHENKER_ INC.,,150 ALBANY AVENUE,FREEPORT,NY,11520,UNITED STATES OF AMERICA,,5163773000,,Y,MULLEN_ LAUREN,TORONTO,,SUPERVISOR - AOG DESK,13-1081,LOGISTICIANS,481212,1,1,0,0,0,0,0,Y,"55,973.00",Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,"63,000.00",0,Year,N,N,NA,,,MIAMI,MIAMI-DADE,FL,33182,
I-200-18058-258379,CERTIFIED,3/13/18,3/19/18,H-1B,7/31/18,7/31/21,FACEBOOK_ INC.,N/A,1 HACKER WAY,MENLO PARK,CA,94025,UNITED STATES OF AMERICA,N/A,6507393143,,Y,KOBLER_ MICHELLE,SAN FRANCISCO,CA,SOFTWARE ENGINEER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,518112,1,0,1,0,0,0,0,Y,"164,413.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"174,440.00",0,Year,Y,N,Y,,,MENLO PARK,SAN MATEO,CA,94025,
I-200-18068-166804,CERTIFIED-WITHDRAWN,3/9/18,3/16/18,H-1B,9/8/18,9/7/21,GATEWAYS REHABILITATION SERVICES_ LLC.,,2470 STEARNS STREET,SIMI VALLEY,CA,93063,UNITED STATES OF AMERICA,,8.18821E+11,,Y,KENT_ WILLIAM,STANTON,CA,PHYSICAL THERAPIST,29-1123,PHYSICAL THERAPISTS,621340,1,1,0,0,0,0,0,Y,37.06,Hour,Level II,OES,2018,OFLC ONLINE DATA CENTER,40,0,Hour,N,N,NA,,,ALHAMBRA,LOS ANGELES,CA,91803,3/15/18
I-200-18039-503257,CERTIFIED,3/9/18,3/15/18,H-1B,7/1/18,6/30/21,MASSACHUSETTS EYE AND EAR INFIRMARY,,243 CHARLES STREET_,BOSTON,MA,2114,UNITED STATES OF AMERICA,,6175733474,,Y,DAVEY-FLEMING_ ELLEN,BOSTON,MA,OPHTHALMOLOGY RESIDENT (PGY-2),29-1069,PHYSICIANS AND SURGEONS_ ALL OTHER,622110,1,1,0,0,0,0,0,Y,"61,553.00",Year,N/A,Other,2016,2016 SURVEY OF RESIDENT/FELLOW STIPENDS AND BENEFITS - AAMC DATA SERVICES,"64,505.00",0,Year,N,N,NA,Y,,BOSTON,SUFFOLK,MA,2114,
I-200-18067-508892,CERTIFIED,3/8/18,3/14/18,H-1B,9/1/18,8/31/21,LUXOTTICA RETAIL NORTH AMERICA INC.,,4000 LUXOTTICA PLACE,MASON,OH,45040,UNITED STATES OF AMERICA,,5137656168,,Y,FLORES_ JONATHAN,LOS ANGELES,CA,SENIOR VICE PRESIDENT_ GLOBAL REAL ESTATE,11-1011,CHIEF EXECUTIVES,446130,1,1,0,0,0,0,0,Y,"298,792.00",Year,Level IV,OES,2017,OFLC ONLINE DATA CENTER,"300,000.00","400,000.00",Year,N,N,NA,,,NEW YORK,NEW YORK,NY,10018,
I-200-18068-584656,CERTIFIED,3/9/18,3/15/18,H-1B,3/9/18,3/8/21,ANJANEYAP_ INC.,N/A,830 HILLVIEW CT_ SUITE 140,MILPITAS,CA,95035,UNITED STATES OF AMERICA,,4085202529,,Y,AGRAWAL_ SANJANA,PLEASANTON,CA,SENIOR TEST ANALYST,15-1199,COMPUTER OCCUPATIONS_ ALL OTHER,541511,1,1,0,0,0,0,0,Y,53.29,Hour,Level IV,OES,2018,OFLC ONLINE DATA CENTER,53.29,0,Hour,Y,N,Y,Y,,ISSAQUAH,KING,WA,98029,
I-200-18067-050295,CERTIFIED,3/8/18,3/14/18,H-1B,9/7/18,9/7/21,LAW OFFICE OF THEODORE N. COX,LAW OFFICE OF THEODORE N. COX,325 BROADWAY,NEW YORK,NY,10007,UNITED STATES OF AMERICA,,2129252512,,Y,COX_ THEODORE,NEW YORK,NY,LAW CLERK,23-1012,JUDICIAL LAW CLERKS,541110,1,1,0,0,0,0,0,N,22.04,Hour,Level I,Other,2018,OFLC ONLINE DATA CENTER,22.04,0,Hour,N,N,NA,Y,,NEW YORK,NY,NY,10007,
I-200-18065-769675,CERTIFIED,3/8/18,3/14/18,H-1B,9/5/18,9/5/21,PRIME HEALTHCARE MANAGEMENT_ INC.,,3300 E. GUASTI RD.,ONTARIO,CA,91761,UNITED STATES OF AMERICA,,9092354400,,Y,DESPOSITO_ ANDREW,ONTARIO,CA,CODER AUDITOR,15-2041,STATISTICIANS,551114,2,2,0,0,0,0,0,Y,24.16,Hour,Level I,OES,2017,OFLC ONLINE DATA CENTER,28,0,Hour,N,N,NA,,,ONTARIO,SAN BERNARDINO,CA,91764,
I-200-18067-079160,CERTIFIED,3/8/18,3/14/18,H-1B,8/1/18,12/31/20,R2 TECHNOLOGIES CORPORATION,,6515 SHILOH ROAD,ALPHARETTA,GA,30005,UNITED STATES OF AMERICA,,4702427168,102,N,_,,,SOFTWARE DEVELOPER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541511,1,1,0,0,0,0,0,Y,39.47,Hour,Level II,Other,2017,OFLC ONLINE DATA CENTER,39.47,0,Hour,Y,N,Y,Y,,ALPHARETTA,FORSYTHE,GA,30005,
I-200-18050-273281,CERTIFIED,3/5/18,3/9/18,H-1B,8/1/18,7/31/21,ASCENDUM SOLUTIONS_ LLC,N/A,10290 ALLIANCE ROAD,BLUE ASH,OH,45242,UNITED STATES OF AMERICA,N/A,5135777454,,Y,SCHALNAT_ ELEANOR,CINCINNATI,OH,ETL DEVELOPER,15-1141,DATABASE ADMINISTRATORS,541511,10,10,0,0,0,0,0,Y,34.18,Hour,Level II,Other,2017,OFLC ONLINE DATA CENTER,36.09,0,Hour,N,N,NA,Y,,BLUE ASH,HAMILTON,OH,45242,
I-200-18058-212555,CERTIFIED,3/1/18,3/7/18,H-1B,8/28/18,8/28/21,BANK OF AMERICA N.A.,N/A,401 N TRYON STREET,CHARLOTTE,NC,28255,UNITED STATES OF AMERICA,,9806836779,,Y,ATASSI_ ISHA,NEW YORK,NY,VICE PRESIDENT; TECH MANAGER - BUSINESS TECH ANALYST,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,522110,1,1,0,0,0,0,0,Y,"107,700.00",Year,N/A,Other,2017,TOWERS WATSON DATABASE SERVICES: INFORMATION TECH COMP SURVEY,"110,500.00",0,Year,N,N,NA,,,NEWARK,NEW CASTLE,DE,19711,
I-200-18066-370480,CERTIFIED,3/7/18,3/13/18,H-1B,7/15/18,7/14/21,HEARTLAND EMPLOYMENT SERVICES_ LLC,HCR MANORCARE,333 N SUMMIT ST.,TOLEDO,OH,43604-1531,UNITED STATES OF AMERICA,N/A,4132525677,,Y,DECKER_ SCOTT,ATLANTA,GA,MARKETING SYSTEMS ANALYST,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,623110,1,1,0,0,0,0,0,Y,"60,600.00",Year,N/A,Other,2017,WILLIS TOWERS WATSON PROFESSIONAL ADMINISTRATIVE AND SALES COMPENSATION SURVEY,"60,600.00",0,Year,N,N,NA,,,TOLEDO,LUCAS,OH,43604,
I-200-18066-813551,CERTIFIED,3/7/18,3/13/18,H-1B,3/26/18,3/25/21,JPMORGAN CHASE &AMP; CO.,,10 S. DEARBORN STREET,CHICAGO,IL,60603,UNITED STATES OF AMERICA,,3127321994,,Y,MORRISON_ MARIFRANCES,RALEIGH,NC,SOFTWARE ENGINEER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,551112,1,0,0,0,0,1,0,Y,"79,000.00",Year,N/A,Other,2017,TOWERS WATSON PROFESSIONAL (INFORMATION TECHNOLOGY) COMPENSATION SURVEY,"80,000.00",0,Year,N,N,NA,Y,,PLANO,COLLIN,TX,75024,
I-200-18066-448158,CERTIFIED,3/7/18,3/13/18,H-1B,9/5/18,9/5/21,OPTIMUM CONTROLS CORPORATION,,1044 MACARTHUR ROAD,READING,PA,19605,UNITED STATES OF AMERICA,,6103750990,,Y,KAYAL_ DEV,SILVER SPRING,MD,NETWORK SYSTEMS ADMINISTRATOR,15-1142,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,33599,1,1,0,0,0,0,0,Y,"47,466.00",Year,Level I,OES,2018,OFLC ON LINE DATA CENTER,"48,500.00",0,Year,N,N,NA,Y,,READING,BERKS,PA,19605,
I-200-18044-862763,CERTIFIED,3/2/18,3/8/18,H-1B,8/11/18,8/10/21,NTT DATA SERVICES_ LLC.,N/A,100 CITY SQUARE,BOSTON,MA,2129,UNITED STATES OF AMERICA,N/A,8007453263,,Y,DROZDOWSKI_ ANDREW,RALEIGH,NC,SYSTEMS INTEGRATION SPECIALIST,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541511,1,1,0,0,0,0,0,Y,"95,821.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"95,821.00","125,821.00",Year,N,N,NA,Y,,ATLANTA,FULTON,GA,30328,
I-200-18036-082227,CERTIFIED,3/5/18,3/9/18,H-1B,8/16/18,8/15/21,CROSS MATCH TECHNOLOGIES_ INC.,,3950 RCA BLVD,PALM BEACH GARDENS,FL,33410,UNITED STATES OF AMERICA,,5616227209,,Y,ZHANG_ SUFEN,BALTIMORE,MD,SENIOR SOLUTION ARCHITECT,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,561621,1,1,0,0,0,0,0,Y,"152,984.00",Year,Level IV,OES,2017,OFLC ONLINE DATA CENTER,"153,000.00","160,000.00",Year,N,N,NA,,,FREMONT,ALAMEDA,CA,94555,
I-200-18029-186478,CERTIFIED,3/2/18,3/8/18,H-1B,9/1/18,8/31/21,FEDERAL HOME LOAN MORTGAGE CO.,N/A,8250 JONES BRANCH DRIVE,MCLEAN,VA,22102,UNITED STATES OF AMERICA,N/A,7039185000,,Y,VAN STIPHOUT_ MONIQUE,WASHINGTON,DC,QUANTITATIVE ANALYTICS MANAGER,Nov-31,FINANCIAL MANAGERS,522294,1,0,0,1,0,0,0,Y,"113,400.00",Year,N/A,Other,2017,HRA-NCA COMPENSATION SURVEY REPORT,"113,400.00","189,000.00",Year,N,N,NA,,,MCLEAN,FAIRFAX,VA,22102,
I-200-18066-122831,CERTIFIED,3/9/18,3/15/18,H-1B,9/6/18,9/6/21,FACEBOOK_ INC.,,1 HACKER WAY,MENLO PARK,CA,94025,UNITED STATES OF AMERICA,N/A,4085335781,,Y,LEE_ MORGAN,SAN FRANCISCO,CA,SOFTWARE ENGINEER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,518112,1,1,0,0,0,0,0,Y,"140,376.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"160,000.00",0,Year,Y,N,Y,,,SAN FRANCISCO,SAN FRANCISCO,CA,94105,
I-200-18065-498805,CERTIFIED,3/7/18,3/13/18,H-1B,4/25/18,4/24/21,IDA SOLUTIONS_ INC,,919 N. PLUM GROVE RD,SCHAUMBURG,IL,60173,UNITED STATES OF AMERICA,N/A,8476375900,104,N,_,,,COMPUTER OCCUPATIONS_ ALL OTHER,15-1199,COMPUTER OCCUPATIONS_ ALL OTHER,541511,1,0,1,0,0,0,0,Y,"63,710.00",Year,Level II,OES,2017,ONLINE OFLC DATACENTER,"63,710.00",0,Year,N,N,NA,Y,,BLOOMINGTON,MCLEAN,IL,61702,
I-200-18067-305692,DENIED,3/8/18,3/13/18,H-1B,9/1/18,8/30/21,NOIL PETROLEUM CORPORATION,,110 W. KINZIE,CHICAGO,IL,60654,UNITED STATES OF AMERICA,,3109869610,,N,_,,,MEDIA SPECIALIST,27-4099,MEDIA AND COMMUNICATION EQUIPMENT WORKERS_ ALL,484230,1,0,0,0,1,0,0,Y,"32,323.00",Year,Level I,Other,2017,FOREIGN LABOR CERTIFICATION DATA CENTER ONLINE WAGE LIBRARY,"32,323.00",0,Year,N,N,,,,CHICAGO,COOK,IL,60654,
I-200-18066-068823,DENIED,3/8/18,3/14/18,H-1B,3/15/18,3/14/21,TURKISH CULTURAL CENTER,,56 W 45TH ST.,NEW YORK,NY,10036,UNITED STATES OF AMERICA,,2126961060,,Y,ONAL_ JOHN,HACKANSACK,NJ,BUSINESS/FINANCIAL ANALYST,13-2051,FINANCIAL ANALYSTS,81341,1,0,0,0,0,1,0,N,33.36,Hour,Level I,OES,2017,,35,0,Hour,N,N,NA,Y,,NEW YORK,NEW YORK,NY,10036,
I-200-18058-845784,CERTIFIED,3/9/18,3/15/18,H-1B,8/29/18,8/28/21,PCCW GLOBAL_ INC.,,450 SPRING PARK PLACE,HERNDON,VA,20170,UNITED STATES OF AMERICA,,7036211600,,Y,TIEVSKY_ CHARLES,RESTON,VA,BUSINESS DEVELOPMENT - WHOLESALE - AMERICAS,41-4011,SALES REPRESENTATIVES_ WHOLESALE AND,517110,1,1,0,0,0,0,0,Y,"87,900.00",Year,N/A,Other,2017,HUMAN RESOURCES ASSOC- NAT. CAP AREA COMP SURVEY,"87,900.00","111,071.00",Year,N,N,NA,,,HERNDON,FAIRFAX,VA,20170,
I-200-18044-812026,CERTIFIED,3/9/18,3/15/18,H-1B,8/15/18,8/14/21,DELOITTE CONSULTING LLP,N/A,1700 MARKET STREET,PHILADELPHIA,PA,19103,UNITED STATES OF AMERICA,N/A,9736025495,,Y,POORAK_ SHARON,ATLANTA,GA,SENIOR CONSULTANT,15-1121,COMPUTER SYSTEMS ANALYSTS,54161,3,1,0,1,0,1,0,Y,"74,714.00",Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,"74,714.00",0,Year,N,N,NA,,,PHILADELPHIA,PHILADELPHIA,PA,19103,
I-200-18068-167275,CERTIFIED,3/9/18,3/15/18,H-1B,4/2/18,4/2/21,POPULUS GROUP LLC,,3001 WEST BIG BEAVER ROAD,TROY,MI,48084,UNITED STATES OF AMERICA,,2487127983,,Y,WISNIEWSKI_ JOEL,TROY,MI,SOFTWARE QUALITY ASSURANCE ENGINEER,15-1199,COMPUTER OCCUPATIONS_ ALL OTHER,561320,1,1,0,0,0,0,0,Y,30.79,Hour,Level II,OES,2017,OFLC ONLINE DATA CENTER,38,0,Hour,N,N,NA,Y,,DETROIT,WAYNE,MI,48243,
I-200-18063-043866,DENIED,3/4/18,3/7/18,H-1B,8/18/18,8/17/21,NTT DATA SERVICES_ LLC,N/A,100 CITY SQUARE,BOSTON,MA,2129,UNITED STATES OF AMERICA,,6175171483,,Y,DALAL_ AMY,RALEIGH,NC,TECHNICAL SOLUTIONS ARCHITECTURE ADVISOR,15-1122,INFORMATION SECURITY ANALYSTS,541511,1,1,0,0,0,0,0,Y,"88,587.00",Hour,Level III,OES,2017,OFLC ONLINE DATA CENTER,"111,650.00","141,650.00",Year,N,N,NA,Y,,SYRACUSE,ONONDAGA,NY,13210,
I-200-18030-897024,CERTIFIED,3/9/18,3/15/18,H-1B,8/1/18,8/1/21,ARIBA_ INC.,,3420 HILLVIEW AVENUE,PALO ALTO,CA,94304,UNITED STATES OF AMERICA,,6503901000,,Y,SHAH_ RAHUL,MATAWAN,NJ,DEVELOPER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,54151,1,1,0,0,0,0,0,Y,"90,200.00",Year,N/A,Other,2017,COMPSOURCE WILLIS TOWERS WATSON INFORMATION TECHNOLOGY COMPENSATION SURVEY,"96,000.00",0,Year,N,N,NA,,,PALO ALTO,SANTA CLARA,CA,94304,
I-200-18066-583100,DENIED,3/9/18,3/12/18,H-1B,9/5/18,9/4/21,NCR CORPORATION,N/A,3097 SATELLITE BLVD,DULUTH,GA,30096,UNITED STATES OF AMERICA,,9374456764,,Y,VAN STIPHOUT_ MONIQUE,WASHINGTON,DC,IT ANALYST II,15-1121,COMPUTER SYSTEMS ANALYSTS,541519,1,1,0,0,0,0,0,Y,"74,734.00",Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,"60,800.00","91,200.00",Year,N,N,NA,,,ATLANTA,FULTON,GA,30308,
I-200-18033-254296,WITHDRAWN,3/5/18,8/8/18,H-1B,9/1/18,8/31/21,THE NEW YORK TIMES COMPANY,,620 8TH AVENUE,NEW YORK,NY,10018,UNITED STATES OF AMERICA,,2125567491,,Y,LOOMBA_ ERICA,NEWARK,NJ,MARKETING OPERATIONS PROFESSIONAL,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,561440,2,2,0,0,0,0,0,Y,"67,700.00",Year,N/A,Other,2017,US MBD MERCER BENCHMARK DATABASE NORTHEAST REGION SURVEY,"67,700.00","75,000.00",Year,N,N,NA,,,NEW YORK,NEW YORK,NY,10018,
